Date,IWF,IWM,MTUM,NXJ,SPY,VLUE,VXX
2019-08-02,-0.0,-0.025590885903757864,-0.06041246629581947,1.0,-0.12257390628415964,-0.005975660116112421,0.0
2019-08-05,-0.0,-0.023496252019778643,-0.05612858548675147,1.0,-0.12897425617475186,-0.006305354083901302,0.0
2019-08-06,-0.0,-0.023513457882820162,-0.05700378975917472,1.0,-0.12144180358634718,-0.008826627598648763,0.0
2019-08-07,-0.0,-0.027501872930713645,-0.052732062157132845,1.0,-0.11714879528263128,-0.010959665530824815,0.0
2019-08-08,-0.0,-0.0272138437741686,-0.052892981438515084,1.0,-0.11738689095127611,-0.010948375870069605,0.0
2019-08-09,-0.0,-0.023637786742127763,-0.05200794749834427,1.0,-0.11272201818291287,-0.01581070503943645,0.0
2019-08-12,-0.0,-0.02304851495867868,-0.055215388131698934,1.0,-0.11271638056514574,-0.011981378339688918,0.0
2019-08-13,-0.0,-0.02468203449970631,-0.054938205008331235,1.0,-0.11077546421164935,-0.00834322292947819,0.0
2019-08-14,-0.0,-0.027847798817274956,-0.05574338450510723,1.0,-0.1036497222388149,-0.007442805089301715,0.0
2019-08-15,-0.0,-0.03236334290664831,-0.05695331228786404,1.0,-0.09746979658683629,-0.0,0.0
2019-08-16,-0.0,-0.032233936458184925,-0.057047537635940546,1.0,-0.09798404331101297,-0.0,0.0
2019-08-19,-0.0,-0.030218673742566753,-0.05869601269871354,1.0,-0.09566680091923523,-0.0,0.0
2019-08-20,-0.0,-0.02927728352178074,-0.06323326126253855,1.0,-0.08898970923569513,-0.0,0.0
2019-08-21,-0.0,-0.02922518989285672,-0.06306923558527164,1.0,-0.08899861788713927,-0.0,0.0
2019-08-22,-0.0,-0.028136101308848003,-0.0640851636355053,1.0,-0.08797252481382256,-0.0,0.0
2019-08-23,-0.0,-0.02870502662683465,-0.06434129579992678,1.0,-0.08774457131386602,-0.0,0.0
2019-08-26,-0.0,-0.027765665327095096,-0.06434657584292836,1.0,-0.08639647390192451,-0.0,0.0
2019-08-27,-0.0,-0.02725742072976887,-0.06439344879961381,1.0,-0.08576373762230517,-0.0,0.0
2019-08-28,-0.0,-0.02325554025585802,-0.06723628617495793,1.0,-0.08640798408831457,-0.0,0.0
2019-08-29,-0.0,-0.01880309698067917,-0.06923493281246323,1.0,-0.08861459534511568,-0.0,0.0
2019-08-30,-0.0,-0.017491512681053017,-0.07047117835704302,1.0,-0.08674098699590024,-0.0,0.0
2019-09-03,-0.0,-0.017662819940301312,-0.07067478318095283,1.0,-0.08684513596728323,-0.0,0.0
2019-09-04,-0.0,-0.016395560514416582,-0.07467261729990017,1.0,-0.08341065241646603,-0.0,0.0
2019-09-05,-0.0,-0.015302227807072143,-0.07304670526476495,1.0,-0.08604713978696668,-0.0,0.0
