Date,IWF,IWM,MTUM,SPY,UIS,VLUE,VXX
2020-02-20,-1.9134827546161886,-1.7020090581813958,-2.657182673324817,-2.3739403089072115,1.0,-1.9665544071536405,0.0
2020-02-21,-1.9080459770114944,-1.7060257749912922,-2.6572622779519333,-2.3725763380935794,1.0,-1.9663299663299665,0.0
2020-02-24,-1.9050942079553383,-1.7213305419865084,-2.6595719934868574,-2.375901372412189,1.0,-1.9687136543382182,0.0
2020-02-25,-1.7691275167785236,-1.6682326621923937,-2.620357941834452,-2.2709172259507833,1.0,-1.857046979865772,0.0
2020-02-26,-1.7234712718583685,-1.58455522971652,-2.5686977299880525,-2.218203540784186,1.0,-1.7663734115347018,0.0
2020-02-27,-1.7342733188720172,-1.575054229934924,-2.560412147505423,-2.2191973969631236,1.0,-1.75704989154013,0.0
2020-02-28,-1.5640113798008537,-1.5459256248729936,-2.368827474090632,-2.038813249339565,1.0,-1.6429587482219064,0.0
2020-03-02,-1.6116803278688523,-1.519672131147541,-2.3835040983606555,-2.0726434426229505,1.0,-1.6584016393442622,0.0
2020-03-03,-1.5081352923774776,-1.5721329257469676,-2.2037274430529536,-1.9696282417907505,1.0,-1.6072379449758407,0.0
2020-03-04,-1.4289838337182448,-1.5649538106235565,-2.183217859892225,-1.9056966897613548,1.0,-1.5399345650500387,0.0
2020-03-05,-1.3777104440867343,-1.671053877473724,-2.069216930214942,-1.8386516428368527,1.0,-1.5120727203863271,0.0
2020-03-06,-1.342205677059097,-1.7053513261982316,-2.014053047929269,-1.7828757561656583,1.0,-1.462168450442066,0.0
2020-03-09,-1.3225211942499078,-1.684666420936233,-2.0050681901953555,-1.7661260597124953,1.0,-1.4364172502764465,0.0
2020-03-10,-1.290018235154206,-1.2243716800126856,-1.8078966146039803,-1.5373027828430983,1.0,-1.0687386030286214,0.0
2020-03-11,-1.1647067925112176,-1.3615194182268295,-1.8061271855175614,-1.4370261488472844,1.0,-0.9669658053535509,0.0
2020-03-12,-1.1388319672131146,-1.2054303278688523,-1.6917447306791569,-1.3850263466042154,1.0,-0.8974677985948477,0.0
2020-03-13,-1.0546126385670445,-0.9356172104966493,-1.4212438153691989,-1.189077472286591,1.0,-0.6624287593160895,0.0
2020-03-16,-0.9060597274572341,-1.0599594085242101,-1.2988112496375763,-1.0734705711800523,1.0,-0.46059727457233984,0.0
2020-03-17,-0.8825100133511349,-0.8055540720961282,-1.0346595460614152,-1.157596795727637,1.0,-0.46018691588785043,0.0
2020-03-18,-0.8675447839831402,-0.8040042149631191,-0.9973129610115913,-1.1383561643835616,1.0,-0.46148577449947314,0.0
2020-03-19,-0.895374107420056,-0.6596295146434855,-0.9676084031874159,-1.1469005484839079,1.0,-0.5049156576632516,0.0
2020-03-20,-0.8949601573010453,-0.6569905826347926,-0.9686950222498188,-1.148038911311187,1.0,-0.5056400703715203,0.0
2020-03-23,-0.8825328846742123,-0.6903742224941368,-0.9063933924747628,-1.124910778015703,1.0,-0.4941878250229428,0.0
2020-03-24,-0.8917601665228208,-0.7046250698075849,-0.8710463522363812,-1.1081890643245165,1.0,-0.5012946133929024,0.0
2020-03-25,-0.8699718471155223,-0.6829698907286348,-0.7059693658443479,-1.0696664598940688,1.0,-0.44305005487426635,0.0
2020-03-26,-0.8813470515385349,-0.6831951986281796,-0.6888158521482328,-1.066876250357245,1.0,-0.44303134228827284,0.0
2020-03-27,-0.8785587603845794,-0.6619060953981144,-0.6403901801549519,-1.0689349388593299,1.0,-0.4173900868104172,0.0
2020-03-30,-0.8630888713202809,-0.6473980374831418,-0.6724178021671394,-1.0740361809980001,1.0,-0.3935729898153746,0.0
2020-03-31,-0.8455265718389474,-0.6658017884446091,-0.6662187833016726,-1.0605569197979892,1.0,-0.3951257934485475,0.0
2020-04-01,-0.8620657582662885,-0.7032042040645492,-0.6245175091847649,-1.0757103659954423,1.0,-0.38496953913407433,0.0
2020-04-02,-0.8642906734552188,-0.6897477435778756,-0.6170793797732006,-1.0808609118259662,1.0,-0.37657949548715575,0.0
2020-04-03,-0.8643134715025907,-0.690136935603257,-0.615840118430792,-1.0813286454478166,1.0,-0.3745836417468542,0.0
2020-04-06,-0.8657144177876392,-0.6871908658068691,-0.6135995932140711,-1.0810336060648085,1.0,-0.3749826653723478,0.0
2020-04-07,-0.841174341807654,-0.6593684972405681,-0.5892065502578485,-1.069121505473627,1.0,-0.3647426038179679,0.0
2020-04-08,-0.8465927099841521,-0.6572786959474758,-0.6017659044600407,-1.0715417704324202,1.0,-0.35087163232963553,0.0
2020-04-09,-0.8488125816772566,-0.6425577937001486,-0.6062367626515255,-1.0684962372132847,1.0,-0.3402280203686179,0.0
2020-04-13,-0.8569242540168325,-0.6181646338719115,-0.6124037985507899,-1.0699401413204914,1.0,-0.3432197668661956,0.0
2020-04-14,-0.8573357943546572,-0.6247242605681358,-0.6062666006392654,-1.0698689956331877,1.0,-0.3436726241390177,0.0
2020-04-15,-0.8256617317182594,-0.6471960520412742,-0.5787797218483626,-1.0713772992373263,1.0,-0.36330192911619563,0.0
2020-04-16,-0.8296661438494287,-0.6422585704682949,-0.5792068115617298,-1.0751960564642618,1.0,-0.35500784225857046,0.0
2020-04-17,-0.8145701276671726,-0.67596643156861,-0.5473172038210874,-1.0661548076064638,1.0,-0.3597893045263816,0.0
2020-04-20,-0.8264856443356332,-0.6538615624304474,-0.555886935232584,-1.0640551969730694,1.0,-0.3510794569330069,0.0
2020-04-21,-0.8274633777104946,-0.6562179972394141,-0.5579500422993009,-1.060554788726123,1.0,-0.35037178859254636,0.0
2020-04-22,-0.8135863781482796,-0.6783877261440227,-0.5362717275629656,-1.0659808442710181,1.0,-0.3399255054984037,0.0
2020-04-23,-0.7989645101336401,-0.6938224621647935,-0.5258429949553058,-1.0631914328701655,1.0,-0.34334896893530403,0.0
2020-04-24,-0.798602202857522,-0.697969655416464,-0.5214314150484364,-1.0598929535099748,1.0,-0.34546821780864334,0.0
2020-04-27,-0.8073016013840217,-0.7006165993878366,-0.5152375460231557,-1.0594863150423635,1.0,-0.35336911679900634,0.0
2020-04-28,-0.8104992462534362,-0.6993437971091603,-0.5093109869646183,-1.0619845703644588,1.0,-0.3526647157932074,0.0
2020-04-29,-0.8171494477221312,-0.6953821585414541,-0.5112008162178947,-1.063744843188573,1.0,-0.348533912966331,0.0
2020-04-30,-0.8200026528717337,-0.6605208471503735,-0.5240305964539947,-1.0798072246540211,1.0,-0.3370473537604457,0.0
2020-05-01,-0.8431832256922941,-0.6387242325046447,-0.5275590551181102,-1.092320622843493,1.0,-0.32181721666814117,0.0
2020-05-04,-0.846930675604163,-0.6300493914270595,-0.526106897159993,-1.0995766449109192,1.0,-0.30732933497971426,0.0
2020-05-05,-0.8453758501899125,-0.6313046550658069,-0.514839678473633,-1.106351029061037,1.0,-0.3186997615051674,0.0
2020-05-06,-0.8421238469347222,-0.6311515205013902,-0.5100410469170675,-1.107516440835062,1.0,-0.3229024142649071,0.0
2020-05-07,-0.842928467282287,-0.6365484027747095,-0.506472849379225,-1.1076304511112094,1.0,-0.3247470507665797,0.0
2020-05-08,-0.8409261632274314,-0.6320975652865538,-0.5140736158366842,-1.1068004065220272,1.0,-0.3247757500773275,0.0
2020-05-11,-0.8465545402374961,-0.6155917538515869,-0.5206815874277138,-1.1133183242837592,1.0,-0.31828013949587247,0.0
2020-05-12,-0.8467855881314024,-0.6160367361356411,-0.5209731543624161,-1.113210879547863,1.0,-0.3183945602260685,0.0
2020-05-13,-0.8482801254029231,-0.6175652404291959,-0.5156532874111361,-1.1201483640217247,1.0,-0.31394886739965555,0.0
2020-05-14,-0.8527231000088269,-0.6102039014917469,-0.5146967958337011,-1.1266219436843499,1.0,-0.3092064612940242,0.0
2020-05-15,-0.8488341282458929,-0.627715951245363,-0.5201819466525349,-1.1266119060236708,1.0,-0.2928369546016605,0.0
2020-05-18,-0.8528995130588757,-0.6332447985834441,-0.5170429393536964,-1.123461708720673,1.0,-0.30008853474988934,0.0
2020-05-19,-0.8648266725546477,-0.6038419077058953,-0.5491720026495914,-1.129211746522411,1.0,-0.26897769927136234,0.0
2020-05-20,-0.868332744613211,-0.5948869657364888,-0.553293889085129,-1.1311815612857647,1.0,-0.26770575768279764,0.0
2020-05-21,-0.8705648720211827,-0.5868049426301853,-0.5585613415710503,-1.1335834068843778,1.0,-0.2635481023830539,0.0
2020-05-22,-0.8713050383834818,-0.5883261272390364,-0.5553692755669284,-1.1330627371393276,1.0,-0.26387540810023824,0.0
2020-05-26,-0.8709478234022847,-0.5877475411282141,-0.5539628633176025,-1.1330657610373573,1.0,-0.26485246769285054,0.0
2020-05-27,-0.8714386522007586,-0.5875452059627768,-0.5555702566816618,-1.1332363059010322,1.0,-0.26254741113169267,0.0
2020-05-28,-0.8823762725309594,-0.5813758758979332,-0.5611916618923802,-1.1352077916354502,1.0,-0.24688202370984091,0.0
2020-05-29,-0.8836799436023969,-0.5789566443426154,-0.561508635882975,-1.1379978850898838,1.0,-0.2439636940430032,0.0
2020-06-01,-0.8825525538759861,-0.586796527257503,-0.5511876955621171,-1.13917412189855,1.0,-0.24732272707240757,0.0
2020-06-02,-0.8821326283322317,-0.5864727913637364,-0.5514430491297643,-1.1386649041639125,1.0,-0.24754351178673717,0.0
2020-06-03,-0.8820497003877336,-0.5864469510045823,-0.5540183292210081,-1.1376013394430735,1.0,-0.24594642227705324,0.0
2020-06-04,-0.8851288830138797,-0.5808327825512227,-0.5646618197840934,-1.1376074025115666,1.0,-0.23802599691562015,0.0
2020-06-05,-0.8728097208769922,-0.5827683367086378,-0.56049132693493,-1.1335740072202165,1.0,-0.25288368407149775,0.0
2020-06-08,-0.8741596730963574,-0.5748495100839229,-0.5705435212443429,-1.1304538863746212,1.0,-0.24385957203743575,0.0
2020-06-09,-0.8793050362876622,-0.5749285243017374,-0.5720694963712338,-1.131911150208929,1.0,-0.24029030129755882,0.0
2020-06-10,-0.8790177592633195,-0.56899802674852,-0.5607542205656654,-1.1268142951107212,1.0,-0.2494189870642403,0.0
2020-06-11,-0.8716722950747775,-0.5839656155431779,-0.5482654269549582,-1.1245997982544624,1.0,-0.2573132757335205,0.0
2020-06-12,-0.8650051921079959,-0.5485462097611631,-0.5714347525095188,-1.1069574247144343,1.0,-0.2348563516787816,0.0
2020-06-15,-0.8751898624311071,-0.5337412663281691,-0.5915028425118257,-1.1145684155708893,1.0,-0.22471032417653952,0.0
2020-06-16,-0.8783133052795975,-0.5225369832111405,-0.5875666999262505,-1.1196911196911197,1.0,-0.2300984772894885,0.0
2020-06-17,-0.8761698440207972,-0.5188041594454073,-0.5879982668977469,-1.1191507798960136,1.0,-0.230632582322357,0.0
2020-06-18,-0.8782442913471121,-0.5156202608431908,-0.5903635339486113,-1.1198058841370944,1.0,-0.22890939815416614,0.0
2020-06-19,-0.8784018027387762,-0.516900676027041,-0.5905269544115098,-1.1189980932570636,1.0,-0.22872248223262265,0.0
2020-06-22,-0.8778331527627301,-0.5167063921993499,-0.5929360780065005,-1.1179631635969662,1.0,-0.22825568797399784,0.0
2020-06-23,-0.8710433763188746,-0.5090964352394599,-0.5945030610915722,-1.1219660457644047,1.0,-0.2454083626416569,0.0
2020-06-24,-0.8700842086986718,-0.5059901033075788,-0.5944526434586335,-1.1222328327111728,1.0,-0.24789478253320602,0.0
2020-06-25,-0.8677839851024208,-0.4989389805551947,-0.5998440951019878,-1.1217790481139838,1.0,-0.24234550257676152,0.0
2020-06-26,-0.8693147362037599,-0.4922030667937278,-0.5996274798579225,-1.1237979727973664,1.0,-0.2466863033873343,0.0
2020-06-29,-0.8704858404780461,-0.4900840045033342,-0.5986403394821166,-1.1270459859703819,1.0,-0.24387286741144887,0.0
2020-06-30,-0.8694144671260782,-0.49477744549906816,-0.5958913015212587,-1.1301521258613965,1.0,-0.24387812594807784,0.0
2020-07-01,-0.8646928970263602,-0.4947842271566463,-0.5918711855603168,-1.1329697441890663,1.0,-0.24408085530017745,0.0
2020-07-02,-0.8511541293144514,-0.5064310770430037,-0.5842969122168811,-1.1272357195444114,1.0,-0.26161708024771557,0.0
2020-07-06,-0.8518165677911055,-0.5065604295674014,-0.5836833672541463,-1.127224700125579,1.0,-0.26107478456675187,0.0
2020-07-07,-0.8424263401548912,-0.5175875048673907,-0.5748712845584736,-1.1293644269458745,1.0,-0.2623631722407303,0.0
2020-07-08,-0.8432025606643886,-0.5160257796617501,-0.5767983044249319,-1.130195942731087,1.0,-0.2592240148795363,0.0
2020-07-09,-0.8400069186197353,-0.5166479287382167,-0.5751967482487244,-1.1296376372913606,1.0,-0.2626048603303641,0.0
2020-07-10,-0.8417913028442985,-0.5122763032765627,-0.578628857957984,-1.1290308636638713,1.0,-0.2609146710469439,0.0
2020-07-13,-0.840933650313378,-0.5148476334558029,-0.5772638858871839,-1.1285930408472011,1.0,-0.260860168575751,0.0
2020-07-14,-0.8338658146964857,-0.5111389344616182,-0.5696831016319834,-1.1353078317934548,1.0,-0.26742077540799586,0.0
2020-07-15,-0.7910260695187167,-0.48249498663101603,-0.545914104278075,-1.077748997326203,1.0,-0.2806233288770053,0.0
2020-07-16,-0.785806829105195,-0.4948802607932461,-0.537718894972207,-1.0758139340494004,1.0,-0.28520081915827306,0.0
2020-07-17,-0.7793480073370018,-0.4925796231449058,-0.5338085709521427,-1.0739953309988328,1.0,-0.28901950975487745,0.0
2020-07-20,-0.783549964475279,-0.4939607974255026,-0.5395578217076942,-1.0683328457391232,1.0,-0.2939775149412797,0.0
2020-07-21,-0.769997082239173,-0.4945604601725647,-0.5362427577008044,-1.0689008378141802,1.0,-0.29852861489725313,0.0
2020-07-22,-0.7646396865752512,-0.4994790147126245,-0.5319884966448547,-1.0704372108531655,1.0,-0.30133789021798024,0.0
2020-07-23,-0.7695035460992908,-0.5065915727993325,-0.5342511472674176,-1.0704630788485607,1.0,-0.29107217355027115,0.0
2020-07-24,-0.7439328457446809,-0.5164145611702128,-0.5270944148936171,-1.0655335771276597,1.0,-0.3026512632978724,0.0
2020-07-27,-0.7383096137089746,-0.5154972822704452,-0.5274884859549396,-1.0554333845068669,1.0,-0.31243516866520066,0.0
2020-07-28,-0.7453865336658354,-0.513549459684123,-0.5300083125519534,-1.0572734829592685,1.0,-0.31001662510390693,0.0
2020-07-29,-0.7468027494272027,-0.5119350135388461,-0.5344719850031243,-1.052239116850656,1.0,-0.3203499270985211,0.0
2020-07-30,-0.7445959428001331,-0.5071499833721317,-0.5345028267376123,-1.053084469571001,1.0,-0.31767542401064186,0.0
2020-07-31,-0.7403570091124704,-0.512170765197853,-0.5335580243831399,-1.0533433196022137,1.0,-0.32147463903798945,0.0
