Date,IWF,IWM,MTUM,RHI,SPY,VLUE,VXX
2019-03-26,-0.0104684393638171,-0.6106796719681908,-0.2452472664015905,1.0,-0.7280380218687873,-0.5119284294234593,0.0
2019-03-27,-0.02081397509756551,-0.6140432385554111,-0.24044477482500157,1.0,-0.7196617729046646,-0.5023849346465961,0.0
2019-03-28,-0.01193169492050702,-0.6123903678681005,-0.25158831003811943,1.0,-0.7154058325843741,-0.5078253323829299,0.0
2019-03-29,-0.009464995034756703,-0.6200657894736841,-0.2510861469712016,1.0,-0.7178810824230387,-0.5048100794438928,0.0
2019-04-01,-0.008819054125392045,-0.6218054218551067,-0.249728286184517,1.0,-0.7187529112194516,-0.5061950749930131,0.0
2019-04-02,-0.016698739834874913,-0.622012539574151,-0.26193432242845616,1.0,-0.7112794090260103,-0.491929977031473,0.0
2019-04-03,-0.01669045107650307,-0.6208661661599553,-0.2616181671526959,1.0,-0.7121362536452193,-0.4909722653099212,0.0
2019-04-04,-0.03431753834666003,-0.6226937556392148,-0.23854267135434495,1.0,-0.7023116891198158,-0.5134252201238294,0.0
2019-04-05,-0.02708810599962851,-0.625843601015417,-0.25750727509132565,1.0,-0.6906693084019566,-0.4946752523063587,0.0
2019-04-08,-0.02812848124767917,-0.619321698229979,-0.25875727193959647,1.0,-0.6924433717044188,-0.4957915583611833,0.0
2019-04-09,-0.03366784364740135,-0.6155918974168371,-0.2601746887195689,1.0,-0.6961221582109893,-0.4917301616799852,0.0
2019-04-10,-0.05484538592646701,-0.6412831750669588,-0.25821767713659605,1.0,-0.6588750913075238,-0.4303627952276601,0.0
2019-04-11,-0.07023523325522656,-0.6177231368491525,-0.2679163750342351,1.0,-0.6674781656066462,-0.41973768296765157,0.0
2019-04-12,-0.07071045576407507,-0.6180843285400927,-0.2622471362417743,1.0,-0.6698757007067999,-0.42566414818425546,0.0
2019-04-15,-0.06641661330161926,-0.6199493794407344,-0.2632269081816241,1.0,-0.6710883420242124,-0.4287195438050803,0.0
2019-04-16,-0.0692251417423642,-0.6204657684569895,-0.26693287813204897,1.0,-0.6663110406632933,-0.4252880570627324,0.0
2019-04-17,-0.06448173981907344,-0.5932502817459109,-0.2810148944595047,1.0,-0.6753068746002254,-0.4318174895677866,0.0
2019-04-18,-0.07206191535391085,-0.5855754288674243,-0.2719156586123892,1.0,-0.6752490935129042,-0.4422742923306621,0.0
2019-04-22,-0.08081827355288505,-0.5783873039170719,-0.26431825826376787,1.0,-0.6833929608904382,-0.45093722288475063,0.0
2019-04-23,-0.07352806239486159,-0.5888056277718304,-0.2727940051995718,1.0,-0.6773206912371922,-0.4461232604373757,0.0
2019-04-24,-0.080508604089617,-0.5834581410276003,-0.2666198001039215,1.0,-0.6801662744139132,-0.4457621420056851,0.0
2019-04-25,-0.08235143031431598,-0.5313513339968536,-0.21157735897518218,1.0,-0.8120204193020193,-0.5733136417632516,0.0
2019-04-26,-0.08470323307061282,-0.5266205565385235,-0.20128679427376547,1.0,-0.8169213447000161,-0.5874215859739425,0.0
2019-04-29,-0.0849017147636972,-0.5224720908535212,-0.19833992857832258,1.0,-0.8185825049062189,-0.5928964385677059,0.0
2019-04-30,-0.08492569002123142,-0.5168564627163353,-0.20189152673229105,1.0,-0.8189217010873062,-0.5942868172167535,0.0
2019-05-01,-0.09841709027733093,-0.5129013576989898,-0.19599768354674732,1.0,-0.8207644295733866,-0.5892156231902709,0.0
2019-05-02,-0.09471514605004669,-0.516955975652958,-0.19474413062381243,1.0,-0.8223889729799362,-0.591671765804644,0.0
2019-05-03,-0.09325690732272815,-0.5197076061054937,-0.1974302827333033,1.0,-0.8198621755651446,-0.5899401043343853,0.0
2019-05-06,-0.08529723820853295,-0.48603028646754337,-0.2124553901552905,1.0,-0.8221393434716909,-0.6092016847249462,0.0
2019-05-07,-0.08311872263713622,-0.48284187483904195,-0.21204609837754312,1.0,-0.8279358743239762,-0.6131856811743497,0.0
2019-05-08,-0.0943511156706848,-0.47646832521159277,-0.22396768402154402,1.0,-0.7973839446011799,-0.6137471146447807,0.0
2019-05-09,-0.09976597313499824,-0.4771903952809926,-0.22299874971948835,1.0,-0.7954989901580484,-0.6103612990093932,0.0
2019-05-10,-0.0981569483688672,-0.47643205753917295,-0.22026714615977394,1.0,-0.8003788851785255,-0.6156563061905985,0.0
2019-05-13,-0.10010916329544724,-0.47630514351762665,-0.21717074423682015,1.0,-0.8000064213703204,-0.6171257946445771,0.0
2019-05-14,-0.06452024633842815,-0.4456747184019911,-0.27432272886818343,1.0,-0.7898465171192444,-0.6165799802163439,0.0
2019-05-15,-0.046634937873319064,-0.4501229756923371,-0.2892643817676558,1.0,-0.8017695723001246,-0.6064139010444948,0.0
2019-05-16,-0.02943996931338703,-0.45486510676384095,-0.3018156246004347,1.0,-0.8013361462728552,-0.6090333716915995,0.0
2019-05-17,-0.02607415938829702,-0.4474837636369453,-0.3102665003039319,1.0,-0.7886873340371756,-0.626771603160892,0.0
2019-05-20,-0.020207833733013592,-0.43645083932853723,-0.3211830535571543,1.0,-0.7902797761790568,-0.6293205435651479,0.0
2019-05-21,-0.009225857940941742,-0.4307422186751796,-0.32644852354349563,1.0,-0.7965522745411014,-0.6294014365522747,0.0
2019-05-22,-0.010620993206391734,-0.4307721749114918,-0.3255828788313718,1.0,-0.7949478518802029,-0.627531655662935,0.0
2019-05-23,-0.01318051575931232,-0.43521171601400827,-0.33954154727793695,1.0,-0.7849092645654251,-0.6108564151544095,0.0
2019-05-24,-0.0,-0.4077898147853989,-0.36556851034088383,1.0,-0.7815547860342472,-0.6220097213838676,0.0
2019-05-28,-0.0,-0.4037679501842674,-0.36589782691574535,1.0,-0.7830410471470327,-0.6243169398907104,0.0
2019-05-29,-0.004217402333840691,-0.40455352612886863,-0.36469431760527654,1.0,-0.7817097919837647,-0.6158041603247083,0.0
2019-05-30,-0.010800025337302843,-0.40222968265028186,-0.35687591055932094,1.0,-0.7790587191993412,-0.6181985177677836,0.0
2019-05-31,-0.012323385921561172,-0.40911106887157067,-0.3506304251409745,1.0,-0.7765950706456314,-0.6193055819552683,0.0
2019-06-03,-0.00901556370998355,-0.4095280273313931,-0.3565101860053144,1.0,-0.7768252562318108,-0.6114766544350246,0.0
2019-06-04,-0.0,-0.4136892495957899,-0.3497130900675269,1.0,-0.767396886789462,-0.6394762704879055,0.0
2019-06-05,-0.0,-0.4083435505674495,-0.36700304945141315,1.0,-0.7766669810431011,-0.591719324719419,0.0
2019-06-06,-0.0,-0.41622386417229995,-0.34821568935701935,1.0,-0.7690614683225908,-0.6106272598648012,0.0
2019-06-07,-0.0,-0.44162100887965244,-0.3445745953775427,1.0,-0.7573209899867751,-0.605264815164683,0.0
2019-06-10,-0.0,-0.4467482616493094,-0.34235283012931444,1.0,-0.7428184878708743,-0.6144165119718089,0.0
2019-06-11,-0.0,-0.44744488661486953,-0.35026214389488974,1.0,-0.7394668688017181,-0.6211546964815867,0.0
2019-06-12,-0.0,-0.44719769612962434,-0.3449159783537454,1.0,-0.7424602044368493,-0.6300832304819773,0.0
2019-06-13,-0.0,-0.44081568131520704,-0.3413215301928549,1.0,-0.7432184634840341,-0.6361998103066708,0.0
2019-06-14,-0.0,-0.4432647644326476,-0.35380920782380637,1.0,-0.737858248807154,-0.6249565519638514,0.0
2019-06-17,-0.0,-0.4425488895207406,-0.3534894006887183,1.0,-0.7360755694562917,-0.6271127539253784,0.0
2019-06-18,-0.0,-0.4316801619433198,-0.3570027834008097,1.0,-0.7382021761133603,-0.6361019736842106,0.0
2019-06-19,-0.0,-0.4270704769138264,-0.3593784613437134,1.0,-0.7378398050571221,-0.6403683660875344,0.0
2019-06-20,-0.0,-0.4306624845547001,-0.35218451984919047,1.0,-0.742800114057599,-0.6426195228590438,0.0
2019-06-21,-0.0,-0.43417091796318014,-0.3521340980385944,1.0,-0.7397572800152097,-0.64257422605279,0.0
2019-06-24,-0.0,-0.43992512452806243,-0.3563564833909705,1.0,-0.7350804276785431,-0.6413274532821471,0.0
2019-06-25,-0.0,-0.4289429450382164,-0.3568234435951921,1.0,-0.7406679141162665,-0.6450794456249406,0.0
2019-06-26,-0.0,-0.4252085910979982,-0.3470067573998287,1.0,-0.7230100567875385,-0.677262777196155,0.0
