Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WH
2020-07-01,-0.39939183585711213,-0.7410387935006296,-0.24025555180145589,-0.5563166139386306,-0.13453328009337467,0.0,1.0
2020-07-02,-0.40509793069520034,-0.7368016480644467,-0.2437659502505919,-0.5596039725732558,-0.12944685299634104,0.0,1.0
2020-07-06,-0.405928112412754,-0.7363096885281185,-0.24398118254773546,-0.5594809826891738,-0.12904713587307443,0.0,1.0
2020-07-07,-0.4078813793952072,-0.7346725320700156,-0.24640846586888976,-0.5589872950441443,-0.12837235057064633,0.0,1.0
2020-07-08,-0.40644148166394684,-0.7413862117806448,-0.24057024971518307,-0.5575638143917233,-0.13314037626628075,0.0,1.0
2020-07-09,-0.4027927290622213,-0.7378587026727771,-0.24122658628856153,-0.5575000768923201,-0.13631470488727587,0.0,1.0
2020-07-10,-0.3991508737386168,-0.747784888013783,-0.23369431454590203,-0.5575621461973911,-0.13835220280580854,0.0,1.0
2020-07-13,-0.40446673024271695,-0.7492847694342757,-0.23385732303811485,-0.5572338265604331,-0.13144861106838526,0.0,1.0
2020-07-14,-0.39928090716327097,-0.7452444608340248,-0.22823514950370305,-0.5624289358040626,-0.13788758796595066,0.0,1.0
2020-07-15,-0.4000921658986175,-0.7435330261136713,-0.228110599078341,-0.5615975422427035,-0.13886328725038402,0.0,1.0
2020-07-16,-0.39035928514006557,-0.7790489147238885,-0.22002349885597677,-0.5604477150454518,-0.1421062395646528,0.0,1.0
2020-07-17,-0.3905486484814746,-0.7786231211727592,-0.22085111647182532,-0.5590709469907836,-0.1436259046205233,0.0,1.0
2020-07-20,-0.39713363940935603,-0.7737622533813129,-0.22502791909666212,-0.5594986971088225,-0.14666832113165407,0.0,1.0
2020-07-21,-0.3794728682170543,-0.7796279069767441,-0.21668217054263564,-0.5648372093023255,-0.1601860465116279,0.0,1.0
2020-07-22,-0.3687265278251963,-0.7897203513454795,-0.20906918278034703,-0.5704708401874671,-0.165771749588752,0.0,1.0
2020-07-23,-0.37105393984588614,-0.7915734526472781,-0.2106947551578424,-0.5712155108128263,-0.16256524981357195,0.0,1.0
2020-07-24,-0.37430046014177343,-0.7910085810222609,-0.21020395473199854,-0.5710421589354558,-0.16251088173112796,0.0,1.0
2020-07-27,-0.3771190394724564,-0.7904755979968273,-0.21045755700021773,-0.5738281128495444,-0.1586052443310834,0.0,1.0
2020-07-28,-0.37924058512293807,-0.7879240585122939,-0.20986616868969812,-0.5754123871770931,-0.15994397759103643,0.0,1.0
2020-07-29,-0.3748797666697694,-0.7835179496726551,-0.2116416891619349,-0.567563374600515,-0.1652238667039002,0.0,1.0
2020-07-30,-0.3746547925652403,-0.773512892915878,-0.21323734756570578,-0.5694603903559127,-0.17212275421230644,0.0,1.0
2020-07-31,-0.3723219275911321,-0.7764702229398249,-0.21281748742470347,-0.5694901571135813,-0.17394274358815126,0.0,1.0
2020-08-03,-0.3631055900621118,-0.781863354037267,-0.21636645962732917,-0.5656211180124223,-0.17863354037267082,0.0,1.0
2020-08-04,-0.36048822908255174,-0.7747686191688925,-0.21423690912479038,-0.5707186781787689,-0.18553947450152183,0.0,1.0
2020-08-05,-0.3604872122363789,-0.7759259836142176,-0.2172829506868945,-0.5721628609700632,-0.18930874427587924,0.0,1.0
2020-08-06,-0.3610219660383237,-0.7692787038479514,-0.22006543075245363,-0.5722075089577816,-0.1931453497429506,0.0,1.0
2020-08-07,-0.37067859712792917,-0.7686387385414385,-0.22282013578199794,-0.5761349059850452,-0.19034508650627285,0.0,1.0
2020-08-10,-0.36618263754146585,-0.7726732177505165,-0.2219127495775177,-0.5765788320711022,-0.19215121737497654,0.0,1.0
2020-08-11,-0.36249256674282493,-0.7736847047040781,-0.21764577008544334,-0.5761635003599261,-0.19977465494037744,0.0,1.0
2020-08-12,-0.35805210646482966,-0.7744034028711725,-0.20855096487661465,-0.5793638382385137,-0.20723735651956338,0.0,1.0
2020-08-13,-0.3543457199112417,-0.7796668437666031,-0.19836234646998158,-0.5793668156389662,-0.213551270431603,0.0,1.0
2020-08-14,-0.355984121526584,-0.7806707717313163,-0.19932485231144312,-0.5791266839621168,-0.210577313787391,0.0,1.0
2020-08-17,-0.3575403276228586,-0.7839814930598975,-0.198543203701388,-0.5771851944479179,-0.20889083406277356,0.0,1.0
2020-08-18,-0.3572837418991265,-0.7790613944460097,-0.18593657055195514,-0.5876772799849722,-0.22084468238314392,0.0,1.0
2020-08-19,-0.3573755089257752,-0.7802380206702161,-0.18440338239899784,-0.5865643595364861,-0.22330097087378645,0.0,1.0
2020-08-20,-0.3555437267119642,-0.7800983185646743,-0.18354886182171148,-0.5861539906691299,-0.22585089394745908,0.0,1.0
2020-08-21,-0.36347956975759665,-0.7771958982721314,-0.19376587538022513,-0.5873812286368341,-0.21402364451691808,0.0,1.0
2020-08-24,-0.36270729489952663,-0.7779554218000564,-0.1903507946957585,-0.5871657418727859,-0.21668390858647607,0.0,1.0
2020-08-25,-0.3616294019881464,-0.7824328138229484,-0.18501677694502805,-0.5876007400671077,-0.21916648374047476,0.0,1.0
2020-08-26,-0.3622165772885502,-0.7824818891711356,-0.1849029385015837,-0.5876375952582558,-0.21886662276162702,0.0,1.0
2020-08-27,-0.35556460964678593,-0.7867552574670134,-0.18231109160999154,-0.5860156078603441,-0.22346193625223304,0.0,1.0
2020-08-28,-0.3541248746238716,-0.7881143430290872,-0.18148194583751254,-0.5870423771313943,-0.22363966900702106,0.0,1.0
2020-08-31,-0.3539817457579274,-0.7879120534454097,-0.18210331524636955,-0.5876485901577643,-0.22485337013455448,0.0,1.0
2020-09-01,-0.3527731567218055,-0.7933080134341945,-0.17053265953105876,-0.5945572679619574,-0.22765937411720394,0.0,1.0
2020-09-02,-0.34858039215686276,-0.7912470588235294,-0.17013333333333336,-0.5938196078431373,-0.23344313725490198,0.0,1.0
2020-09-03,-0.35120466808884426,-0.7921633831095496,-0.17157108796586776,-0.5922010289873259,-0.23004768477851678,0.0,1.0
2020-09-04,-0.3261655447519322,-0.7980241834953877,-0.14862253802044378,-0.5968586387434555,-0.24672774869109948,0.0,1.0
2020-09-08,-0.31784902015764716,-0.7941863725581831,-0.14702308626974486,-0.5961304794840641,-0.2603981680530891,0.0,1.0
2020-09-09,-0.30796696472925983,-0.7986214605067065,-0.13226527570789867,-0.594914307004471,-0.2710506706408346,0.0,1.0
2020-09-10,-0.30129854030433567,-0.7988967056125453,-0.12337682461958037,-0.5951901323333436,-0.2804413177549819,0.0,1.0
2020-09-11,-0.2979250541963456,-0.803065964694952,-0.12434190151749766,-0.5923196035924435,-0.2792815113038092,0.0,1.0
2020-09-14,-0.2971725867888886,-0.8019262333157847,-0.12427611408751665,-0.5924870707008145,-0.28100709175931377,0.0,1.0
2020-09-15,-0.2957179153498172,-0.804827415256863,-0.12486831505236413,-0.5905062898927929,-0.282518435892669,0.0,1.0
2020-09-16,-0.2966477501783112,-0.7991130957918566,-0.12429063168666853,-0.5917759791608522,-0.289267218655999,0.0,1.0
2020-09-17,-0.2970911120759164,-0.798796749984494,-0.12466662531786887,-0.5917943310798238,-0.2888420269180673,0.0,1.0
